condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
events,3,test_1,5,-7.510088920593262,-7.578579902648926,0.06849098205566406,True
events,3,test_1,6,-7.196802616119385,-7.220175743103027,0.023373126983642578,True
events,3,test_1,7,-6.557613372802734,-6.696915626525879,0.13930225372314453,True
events,3,test_1,8,-5.863308906555176,-6.004639625549316,0.14133071899414062,True
events,3,test_1,9,-5.9345479011535645,-5.910414695739746,-0.02413320541381836,False
events,3,test_1,10,-4.854462623596191,-4.754385948181152,-0.10007667541503906,False
events,3,test_1,11,-4.3906378746032715,-4.180466651916504,-0.21017122268676758,False
events,3,test_1,12,-6.246407985687256,-6.2680182456970215,0.021610260009765625,True
events,3,test_2,0,-49.767574310302734,-49.767574310302734,0.0,False
events,3,test_2,1,-10.4555025100708,-10.51716136932373,0.06165885925292969,True
events,3,test_2,2,-10.097843170166016,-10.087258338928223,-0.010584831237792969,False
events,3,test_2,3,-9.389609336853027,-9.383402824401855,-0.006206512451171875,False
events,3,test_2,4,-8.584744453430176,-8.549798011779785,-0.034946441650390625,False
events,3,test_2,5,-8.492870330810547,-8.451813697814941,-0.04105663299560547,False
events,3,test_2,6,-7.864883899688721,-7.82744026184082,-0.03744363784790039,False
events,3,test_2,7,-7.3905558586120605,-7.388242721557617,-0.0023131370544433594,False
events,3,test_2,8,-6.2727885246276855,-6.313014030456543,0.04022550582885742,True
events,3,test_2,9,-5.908027648925781,-6.192289352416992,0.28426170349121094,True
events,3,test_2,10,-4.550405502319336,-4.875244617462158,0.32483911514282227,True
events,3,test_2,11,-3.578355312347412,-3.9705970287323,0.3922417163848877,True
events,3,test_2,12,-5.949457168579102,-5.925784111022949,-0.023673057556152344,False
events,4,test_1,0,-54.78791809082031,-54.78791809082031,0.0,False
events,4,test_1,1,-11.047552108764648,-11.020115852355957,-0.027436256408691406,False
events,4,test_1,2,-10.204100608825684,-10.139898300170898,-0.06420230865478516,False
events,4,test_1,3,-9.301478385925293,-9.269242286682129,-0.03223609924316406,False
events,4,test_1,4,-9.02554988861084,-8.979290008544922,-0.04625988006591797,False
events,4,test_1,5,-8.266796112060547,-8.246963500976562,-0.019832611083984375,False
events,4,test_1,6,-8.077404022216797,-8.066510200500488,-0.010893821716308594,False
events,4,test_1,7,-6.720049858093262,-6.7126240730285645,-0.007425785064697266,False
events,4,test_1,8,-6.014599800109863,-6.048259258270264,0.03365945816040039,True
events,4,test_1,9,-4.7458577156066895,-4.7523193359375,0.006461620330810547,True
events,4,test_1,10,-3.421015977859497,-3.644239664077759,0.22322368621826172,True
events,4,test_1,11,-2.614344596862793,-2.7506024837493896,0.13625788688659668,True
events,4,test_1,12,-6.537522792816162,-6.54539155960083,0.007868766784667969,True
events,4,test_2,0,-55.69050598144531,-55.69050598144531,0.0,False
events,4,test_2,1,-11.098066329956055,-11.075906753540039,-0.022159576416015625,False
events,4,test_2,2,-10.21168041229248,-10.215961456298828,0.004281044006347656,True
events,4,test_2,3,-9.363900184631348,-9.346266746520996,-0.017633438110351562,False
events,4,test_2,4,-8.901577949523926,-8.892624855041504,-0.008953094482421875,False
events,4,test_2,5,-8.27900218963623,-8.280394554138184,0.001392364501953125,True
events,4,test_2,6,-8.141007423400879,-8.172364234924316,0.0313568115234375,True
events,4,test_2,7,-7.0560808181762695,-7.056396007537842,0.0003151893615722656,True
events,4,test_2,8,-6.221839904785156,-6.2976837158203125,0.07584381103515625,True
events,4,test_2,9,-5.091720104217529,-5.1742939949035645,0.08257389068603516,True
events,4,test_2,10,-4.382544994354248,-4.351170539855957,-0.031374454498291016,False
events,4,test_2,11,-3.569474935531616,-3.661633253097534,0.09215831756591797,True
events,4,test_2,12,-7.012567043304443,-7.037326335906982,0.024759292602539062,True
sluicing_appositive,2,test_1,0,-64.72099304199219,-64.89008331298828,0.16909027099609375,True
sluicing_appositive,2,test_1,1,-12.721979141235352,-12.854557991027832,0.13257884979248047,True
